LON,LAT,EDO,CLAVE,ESTACION,01/02/18
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",28.7
-102.466944,22.188611,AGS,ANVAG,"Cincuenta Aniversario, Ags.",24.4
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",19.5
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",30
-102,21.896389,AGS,CNSAG,"Los Conos, Ags.",33
-102.296667,22.362778,AGS,CSOAG,"CosÌo, Ags.",19.4
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",26.4
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",32.7
-102.371667,21.78,AGS,NGRAG,"El Niagara, Ags.",41.1
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",27.7
-102.465,22.189167,AGS,P50ANIV,"Presa Cincuenta Aniversario, Ags. SMN*",21.6
-102.291944,22.1625,AGS,PBLAG,"PabellÛn, Ags.",23.9
-102.417222,22.141111,AGS,PECAG,"Plutarco ElÌas Calles, Ags.",25
-102.133333,22.202778,AGS,PTOAG,"Puerto de la ConcepciÛn, Ags.",23.5
-102.4375,22.235,AGS,PTRAG,"Derivadora PabellÛn, Ags.",24.5
-116.908333,32.444722,BC,ALRBN,"Abelardo L. RodrÌguez, B.C.",23
-114.719167,29.727222,BC,CATAVINA,"CataviÒa, B.C. SMN*",16.1
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",16.1
-116.584444,32.243056,BC,CSRBN,"Carmen Serd·n, B.C.",30.3
-116.828333,32.468056,BC,EFLBN,"El Florido, B.C.",32.8
-116.6025,31.890278,BC,ELZBN,"Emilio LÛpez Zamora, B.C.",30.3
-115.931389,30.517222,BC,ENBBN,"San QuintÌn (Ejido Nuevo), B.C.",16.3
-115.15,32.411111,BC,ENLBN,"Ejido Nuevo LeÛn, B.C.",0.6
-114.728056,32.705,BC,JMRBN,"InterconexiÛn JosÈ MarÌa Morelos y PavÛn, B.C.",0.5
-115.27,32.39,BC,MXCBN,"Mexicali, B.C.",0.5
-114.729444,32.703889,BC,PDMBN,"Presa Derivadora Morelos, B.C.",0.5
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",19
-114.85,31.033333,BC,SFLBN,"San Felipe, B.C.",6
-111.658333,25.001389,BCS,CCNBS,"Ciudad ConstituciÛn, B.C.S.",15
-109.9125,22.881944,BCS,CSLBS,"Cabo San Lucas, B.C.S.",5
-113.420833,27.783333,BCS,DORBS,"DÌaz Ordaz, B.C.S.",6.5
-114.05,27.966667,BCS,GNGBS,"Guerrero Negro, B.C.S.",23.8
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",10
-110.366667,24.15,BCS,LPZBS,"La Paz, B.C.S.",7.3
-111.341667,26.016667,BCS,LRTBS,"Loreto, B.C.S.",1.6
-112,26.866667,BCS,MLGBS,"Mulege, B.C.S.",0.5
-109.983333,24.066667,BCS,PLNBS,"Los Planes, B.C.S.",2.4
