LON,LAT,EDO,CLAVE,ESTACION,01/12/20
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",9.3
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",3.0
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",10.8
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",9.1
-102.197222,22.007222,AGS,CHOAG,"CaÒada Honda, Ags.",12.9
-102.189167,21.826667,AGS,CLVAG,"Calvillo, Ags.",6.8
-101.992222,21.897778,AGS,CNSAG,"Los Conos, Ags.",10.0
-102.296667,22.362778,AGS,CSOAG,"CosÌo, Ags.",6.0
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",1.3
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",12.7
-102.371667,21.78,AGS,NGRAG,"El Ni·gara, Ags.",9.8
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",11.5
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",10.8
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",8.0
-102.279167,22.147222,AGS,PBLAG,"PabellÛn, Ags.",2.2
-102.417222,22.141111,AGS,PECAG,"Plutarco ElÌas Calles, Ags.",3.0
-102.135,22.202778,AGS,PTOAG,"Puerto de la ConcepciÛn, Ags.",7.0
-102.4375,22.235,AGS,PTRAG,"Derivadora PabellÛn, Ags.",8.9
-102.608611,22.269722,AGS,SIERRAFRIA,"Sierra FrÌa, Ags. SMN*",39.0
-102.108889,21.885,AGS,SNVAG,"Sandovales, Ags.",7.0
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",9.0
-102.0675,22.097778,AGS,VJZAG,"Villa Ju·rez, Ags.",12.0
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",7.3
-116.908333,32.444722,BC,ALRBN,"Abelardo L. RodrÌguez, B.C.",15.7
-115.921667,32.042222,BC,CONST1857,"ConstituciÛn de 1857, B.C. SMN*",10.8
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",13.9
-116.584444,32.243056,BC,CSRBN,"Carmen Serd·n, B.C.",0.0
-116.828333,32.468056,BC,EFLBN,"El Florido, B.C.",10.9
-116.6025,31.890278,BC,ELZBN,"Emilio LÛpez Zamora, B.C.",18.1
-115.931389,30.517222,BC,ENBBN,"San QuintÌn, B.C.",19.2
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo LeÛn, B.C.",0.0
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",18.2
-114.728056,32.705,BC,JMRBN,"InterconexiÛn JosÈ MarÌa Morelos y PavÛn, B.C.",0.0
-115.27,32.39,BC,MXCBN,"Mexicali, B.C.",0.0
-116.908333,32.4475,BC,PABELARLRDGZ2,"Abelardo L. RodrÌguez. 2, B.C. SMN*",0.2
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",0.0
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",6.4
-116.603333,31.891667,BC,PLOPEZZAMORA,"Presa Emilio LÛpez Zamora, B.C. SMN*",1.2
-116.678333,32.543889,BC,PRTBN,"La Puerta, B.C.",20.1
-114.828611,30.993056,BC,SANFELIPEmar,"San Felipe, B.C. SEMAR*",0.0
-114.834444,31.028056,BC,SFELIPEob,"Observatorio de San Felipe, B.C. SMN*",0.4
-114.85,31.033333,BC,SFLBN,"Observatorio de San Felipe, B.C.",0.0
-115.9375,30.531111,BC,SQNBN,"San QuintÌn, B.C. SMN*",17.4
-116.633333,32.566667,BC,TCTBN,"Tecate, B.C.",18.4
-116.661667,32.568611,BC,TECATE,"Tecate, B.C. SMN*",17.2
