LON,LAT,EDO,CLAVE,ESTACION,01/07/18,,,,,
-105.966667,28.7,CHIH,C08270,"La Mesa, Chih.",22.5,,,,,
-107.930833,30.376667,CHIH,CAGCH,"Casas Grandes, Chih.",87.5,,,,,
-105.171389,27.685556,CHIH,CCOCH,"Ciudad Camargo, Chih.",59.0,,,,,
-105.446944,28.210833,CHIH,CDLCH,"Ciudad Delicias, Chih.",26.5,,,,,
-106.770556,26.229444,CHIH,CHNCH,"Chinat˙, Chih. SMN*",223.8,,,,,
-106.167778,28.570556,CHIH,CHUCH,"Chihuahua, Chih.",27.4,,,,,
-106.400278,31.736667,CHIH,CJZCH,"Ciudad Ju·rez, Chih.",17.0,,,,,
-105.382222,27.576389,CHIH,CLNCH,"Ing. Andrew Weiss, Chih.",61.4,,,,,
-108.541667,27.416667,CHIH,CNDCH,"Chinipas, Chih.",165.0,,,,,
-106.871111,28.418611,CHIH,CUACH,"CuauhtÈmoc, Chih.",133.0,,,,,
-106.119444,28.614722,CHIH,ERECH,"El RejÛn, Chih.",27.4,,,,,
-105.628889,28.166111,CHIH,FIMCH,"Francisco I. Madero, Chih.",41.0,,,,,
-107.072222,26.816667,CHIH,GCCCH,"Guachochi, Chih. SMN*",124.6,,,,,
-108.3,29.2,CHIH,GPCCH,"Guapoca, Chih.",174.4,,,,,
-107.072778,26.813056,CHIH,GRCCH,"Guerachi, Chih.",118.3,,,,,
-108.305,29.133889,CHIH,GUAPOCACFE,"Guapoca, Chih. CFE*",174.5,,,,,
-107.879167,26.870833,CHIH,IGNCH,"San Ignacio, Chih.",188.5,,,,,
-104.912778,27.126667,CHIH,JMNCH,"JimÈnez, Chih.",23.7,,,,,
-105.414167,27.544722,CHIH,LBQCH,"La Boquilla, Chih.",32.1,,,,,
-107.025833,29.88,CHIH,LJSCH,"Las Lajas, Chih.",100.8,,,,,
-105.28,28.984444,CHIH,LLNCH,"Ing. Luis L. LeÛn, Chih.",60.8,,,,,
-107.994167,27.858611,CHIH,MAGCH,"Maguarichi, Chih. SMN*",68.3,,,,,
-104.410833,29.565,CHIH,OJNCH,"Ojinaga, Chih.",3.0,,,,,
-105.254167,26.546389,CHIH,PAGCH,"Pico del ¡guila, Chih.",54.7,,,,,
-105.675556,26.917778,CHIH,PRRCH,"Parral, Chih.",73.0,,,,,
-106.085556,28.656944,CHIH,QIJCH,"Observatorio de Chihuahua, Chih.",27.5,,,,,
-106.383333,26.466667,CHIH,RVGCH,"El Vergel, Chih.",77.9,,,,,
-107.973333,26.9425,CHIH,TB2CH,"Tubares II, Chih.",166.0,,,,,
-107.85,28.95,CHIH,TMCCH,"TemÛsachic, Chih.",83.2,,,,,
-107.384167,29.5625,CHIH,TNTCH,"El Tintero, Chih.",112.5,,,,,
-107.9125,27.216667,CHIH,URECH,"Urique, Chih.",168.1,,,,,
-107.916944,27.215556,CHIH,URICH,"Urique, Chih. SMN*",95.5,,,,,
-105.16,26.738611,CHIH,VICCH,"Villa Coronado, Chih.",53.7,,,,,
-105.806944,27.454444,CHIH,VZRCH,"Valle de Zaragoza, Chih.",63.8,,,,,
-92.804167,16.552778,CHIS,ACACP,"Acala, Chis.",84.9,,,,,
-92.034722,16.737778,CHIS,ALTAMIRANO,"Altamirano, Chis. SGT*",95.2,,,,,
-92.778889,16.401389,CHIS,ANGCP,"Doctor Belisario DomÌnguez, Chis.",43.6,,,,,
-92.300278,15.124722,CHIS,ARGOVIA,"Finca Argovia, Chis. OCFS*",388.7,,,,,
-93.8975,16.241111,CHIS,AROCP,"Arriaga, Chis.",148.8,,,,,
-93.427222,17.253611,CHIS,AZAPACCFE,"Azapac, Chis. CFE*",310.0,,,,,
-92.905833,16.997222,CHIS,BOCHIL,"Bochil, Chis. OCFS*",33.6,,,,,
-93.15,16.641944,CHIS,BOQCP,"BoquerÛn, Chis.",25.0,,,,,
-92.716667,15.35,CHIS,CACCP,"Cacaluta, Chis.",464.9,,,,,
-92.4875,16.308333,CHIS,CASCAJAL,"Cascajal, Chis. SGT*",52.0,,,,,
-92.479167,16.308333,CHIS,CASCP,"Cascajal, Chis.",43.3,,,,,
-92.483056,15.969167,CHIS,CATARINITAS,"Catarinitas, Chis. SGT*",68.4,,,,,
-91.703333,17.472222,CHIS,CHACAMAX,"Chacamax, Chis. SGT*",84.4,,,,,
-93.019167,16.706389,CHIS,CHIAPACORZO,"Chiapa de Corzo, Chis. SGT*",20.2,,,,,
-92.281389,15.750278,CHIS,CHICOMUSELO,"Chicomuselo, Chis. SGT*",75.4,,,,,
-93.100556,16.941667,CHIS,CHICP,"Manuel Moreno Torres, Chis.",158.9,,,,,
-92.283333,15.75,CHIS,CHMCP,"Chicomuselo, Chis.",49.3,,,,,
-92.1,16.2,CHIS,COOCP,"Observatorio de Comit·n, Chis.",15.7,,,,,
-92.864444,16.038611,CHIS,CUXTEPEQUESCFE,"Cuxtepeques, Chis. CFE*",196.7,,,,,
-92.575,15.204167,CHIS,DESCP,"Despoblado, Chis.",502.7,,,,,
-92.925278,16.108333,CHIS,DORADOCFE,"El Dorado, Chis. CFE*",120.7,,,,,
-92.590833,16.686111,CHIS,ELAGUAJE,"El Aguaje, Chis. SGT*",88.8,,,,,
-92.828611,16.787778,CHIS,ELBURRERO,"El Burrero, Chis. OCFS*",167.9,,,,,
-93.123611,16.971111,CHIS,ELGRIJALVACFE,"El Grijalva, Chis. CFE*",123.2,,,,,
-92.95,15.495833,CHIS,ELNCP,"El Novillero, Chis.",227.7,,,,,
-92.808056,15.656667,CHIS,ELTRIUNFO,"El Triunfo, Chis. SMN*",115.8,,,,,
