LON,LAT,EDO,CLAVE,ESTACION,01/10/18
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",119.54
-102.466944,22.188611,AGS,ANVAG,"Cincuenta Aniversario, Ags.",109.8
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",100.76
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",113
-102,21.896389,AGS,CNSAG,"Los Conos, Ags.",65.33
-102.296667,22.362778,AGS,CSOAG,"CosÌo, Ags.",51.63
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",75.53
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",45.02
-102.371667,21.78,AGS,NGRAG,"El Niagara, Ags.",89.33
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",89.1
-102.465,22.189167,AGS,P50ANIV,"Presa Cincuenta Aniversario, Ags. SMN*",92.8
-102.291944,22.1625,AGS,PBLAG,"PabellÛn, Ags.",90.31
-102.417222,22.141111,AGS,PECAG,"Plutarco ElÌas Calles, Ags.",117
-102.133333,22.202778,AGS,PTOAG,"Puerto de la ConcepciÛn, Ags.",76.04
-102.4375,22.235,AGS,PTRAG,"Derivadora PabellÛn, Ags.",88.23
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",0.6
-116.908333,32.444722,BC,ALRBN,"Abelardo L. RodrÌguez, B.C.",3.41
-114.719167,29.727222,BC,CATAVINA,"CataviÒa, B.C. SMN*",28.6
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",3.1
-116.584444,32.243056,BC,CSRBN,"Carmen Serd·n, B.C.",2.4
-116.828333,32.468056,BC,EFLBN,"El Florido, B.C.",4.31
-116.6025,31.890278,BC,ELZBN,"Emilio LÛpez Zamora, B.C.",3.41
-115.931389,30.517222,BC,ENBBN,"San QuintÌn (Ejido Nuevo), B.C.",8.7
-115.15,32.411111,BC,ENLBN,"Ejido Nuevo LeÛn, B.C.",3.11
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",9.1
-114.728056,32.705,BC,JMRBN,"InterconexiÛn JosÈ MarÌa Morelos y PavÛn, B.C.",6.02
-116.811111,32.101944,BC,LAMBN,"La MisiÛn, B.C.",0.01
