LON,LAT,EDO,CLAVE,ESTACION,01/06/21
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",136.81
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",180.00
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",100.40
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",92.48
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",77.00
-102.189167,21.826667,AGS,CLVAG,"Calvillo, Ags.",76.91
-101.992222,21.897778,AGS,CNSAG,"Los Conos, Ags.",154.75
-102.296667,22.362778,AGS,CSOAG,"CosÌo, Ags.",204.21
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",93.21
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",127.25
-102.371667,21.78,AGS,NGRAG,"El Ni·gara, Ags.",156.62
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",97.50
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",117.41
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",85.50
-102.279167,22.147222,AGS,PBLAG,"PabellÛn, Ags.",112.90
-102.417222,22.141111,AGS,PECAG,"Plutarco ElÌas Calles, Ags.",80.55
-102.135,22.202778,AGS,PTOAG,"Puerto de la ConcepciÛn, Ags.",167.73
-102.4375,22.235,AGS,PTRAG,"Derivadora PabellÛn, Ags.",108.52
-102.608333,22.269444,AGS,SIERRAFRIA,"Sierra FrÌa, Ags. SMN*",162.00
-102.108889,21.885,AGS,SNVAG,"Sandovales, Ags.",194.00
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",129.00
-102.0675,22.097778,AGS,VJZAG,"Villa Ju·rez, Ags.",61.80
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",0.00
-114.730278,32.704722,BC,ALGODONESob,"Observatorio de Algodones, B.C. SMN*",0.00
-116.908333,32.444722,BC,ALRBN,"Abelardo L. RodrÌguez, B.C.",0.00
-114.719167,29.727222,BC,CATAVINA,"CataviÒa, B.C. SMN*",0.00
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",0.00
-116.828333,32.468056,BC,EFLBN,"El Florido, B.C.",0.00
-116.6025,31.890278,BC,ELZBN,"Emilio LÛpez Zamora, B.C.",0.01
-115.931389,30.517222,BC,ENBBN,"San QuintÌn, B.C.",0.00
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo LeÛn, B.C.",0.00
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",0.00
-114.728056,32.705,BC,JMRBN,"InterconexiÛn JosÈ MarÌa Morelos y PavÛn, B.C.",0.00
-115.27,32.39,BC,MXCBN,"Mexicali, B.C.",0.00
-116.908333,32.4475,BC,PABELARLRDGZ2,"Abelardo L. RodrÌguez. 2, B.C. SMN*",0.00
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",0.00
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",0.00
-116.678333,32.543889,BC,PRTBN,"La Puerta, B.C.",0.00
-116.64,31.704444,BC,PTBBN,"Punta Banda, B.C.",0.00
-115.9375,30.531111,BC,SQNBN,"San QuintÌn, B.C. SMN*",0.00
-116.661667,32.568611,BC,TECATE,"Tecate, B.C. SMN*",0.00
-111.663611,25.009722,BCS,CCNBS,"Observatorio de Ciudad ConstituciÛn, B.C.S.",0.01
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",11.00
-113.457778,27.643611,BCS,DORBS,"DÌaz Ordaz, B.C.S.",0.52
-114.051944,27.963056,BCS,GNGBS,"Guerrero Negro, B.C.S.",0.04
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",47.01
-110.366667,24.15,BCS,LPZBS,"Observatorio de La Paz, B.C.S.",14.91
-111.349167,26.011667,BCS,LRTBS,"Observatorio de Loreto, B.C.S.",0.20
-111.983056,26.896111,BCS,MLGBS,"MulegÈ, B.C.S.",0.00
-111.829444,24.481111,BCS,PCORTESmar,"Puerto CortÈs, B.C.S. SEMAR*",0.00
-109.934167,23.9675,BCS,PLNBS,"Los Planes, B.C.S.",108.01
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",65.82
-110.059167,23.805,BCS,SANBS,"San Antonio, B.C.S.",23.02
-112.478611,26.2575,BCS,SANJUANICO,"San Juanico, B.C.S. SMN*",0.00
-109.995,24.083889,BCS,SARBS,"El Sargento, B.C.S.",38.00
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",17.02
-109.708333,23.118889,BCS,SJCBS,"San JosÈ del Cabo, B.C.S.",2.01
-109.998611,23.555556,BCS,SLAGUNA,"Sierra La Laguna, B.C.S. SMN*",122.60
-109.713611,23.490278,BCS,SNTBS,"Santiago, B.C.S.",124.32
-112.272778,27.337778,BCS,SRLBS,"Observatorio de Santa RosalÌa, B.C.S.",2.00
-110.210556,23.478889,BCS,TSNBS,"Todos Santos, B.C.S.",45.03
-89.743889,20.003889,CAMP,BOLCA,"Bolonchen, Camp.",327.80
-90.5,19.833333,CAMP,CAMPECHEob,"Observatorio de Campeche, Camp. SMN*",103.00
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",189.30
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",187.90
-91.765278,18.658056,CAMP,CDCCA,"Ciudad del Carmen, Camp. SMN*",91.40
-90.72,19.361667,CAMP,CHMCA,"ChampotÛn, Camp.",276.01
-90.544167,19.838333,CAMP,CMPCA,"Campeche, Camp.",272.50
-91.046111,18.183056,CAMP,CNDCA,"Candelaria, Camp.",137.50
-90.507222,19.838611,CAMP,COBCA,"Observatorio de Campeche, Camp.",194.40
-90.741111,18.604444,CAMP,ESCCA,"Esc·rcega, Camp.",104.60
-90.105556,20.184167,CAMP,HECCA,"Hecelchak·n, Camp.",250.00
-89.848333,19.751944,CAMP,HPOCA,"Hopelchen, Camp.",345.30
-90.820833,18.056944,CAMP,MONCLOVACAMP,"Monclova, Camp. SMN*",322.00
-90.221389,19.605833,CAMP,NYXCA,"Noh-YaxchÈ, Camp.",183.50
-92.086944,18.253056,CAMP,PLZCA,"Palizada, Camp.",389.00
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",135.00
-89.860278,19.664444,CAMP,XCPCA,"Xcupil, Camp.",281.21
-89.396111,18.502222,CAMP,XPJCA,"Xpujil, Camp.",131.51
-107.482778,28.481667,CHIH,AGZCH,"Abraham Gonz·lez, Chih.",96.51
-107.255556,28.771667,CHIH,BACCH,"BachÌniva, Chih.",75.80
-108.209167,28.198889,CHIH,BASCH,"Basaseachi, Chih. SMN*",115.00
-108.206389,28.208889,CHIH,BSSCH,"Basaseachi, Chih.",103.20
-107.723611,27.033611,CHIH,BTPCH,"Batopilas, Chih.",102.20
-106.484722,28.802778,CHIH,C08099,"Majalca, Chih.",113.00
-108.092778,29.251944,CHIH,C08219,"PeÒitas, Chih.",40.00
-107.6975,28.759722,CHIH,C08243,"Tejolocachi, Chih.",37.51
-105.963611,28.773333,CHIH,C08270,"La Mesa, Chih.",46.25
-107.930833,30.376667,CHIH,CAGCH,"Observatorio de Nuevo Casas Grandes, Chih.",39.81
-106.84,28.396667,CHIH,CDCUAUHTEMOC,"Ciudad CuauhtÈmoc, Chih. SMN*",82.80
-108.535556,27.392222,CHIH,CHICH,"ChÌnipas, Chih. SMN*",75.95
-106.030278,28.670556,CHIH,CHIHUAHUAob,"Observatorio de Chihuahua, Chih. SMN*",15.60
-106.770556,26.229444,CHIH,CHNCH,"Chinat˙, Chih. SMN*",93.61
-106.167778,28.570556,CHIH,CHUCH,"Chihuahua, Chih.",66.01
-106.400278,31.736667,CHIH,CJZCH,"Ciudad Ju·rez, Chih.",17.50
-105.381667,27.410278,CHIH,CL2CH,"Colina hidromÈtrica, Chih.",182.02
-105.382222,27.576389,CHIH,CLNCH,"Ing. Andrew Weiss, Chih.",182.02
-108.541667,27.416667,CHIH,CNDCH,"ChÌnipas, Chih.",119.11
-105.382222,27.576389,CHIH,COLINA,"Colina, Chih. SGT*",128.50
-106.353889,26.949722,CHIH,CONCHOSob,"Observatorio de Conchos, Chih. SMN*",80.60
-107.633333,27.75,CHIH,CRLCH,"Creel, Chih.",68.20
-105.5,28.17,CHIH,DELICIAS,"Ciudad Delicias, Chih. SMN*",0.00
-106.390278,26.473333,CHIH,ELVERGELSMN,"El Vergel, Chih. SMN*",51.80
-106.119444,28.614722,CHIH,ERECH,"El RejÛn, Chih.",65.51
-105.628889,28.166111,CHIH,FIMCH,"Francisco I. Madero, Chih.",49.04
-107.072222,26.816667,CHIH,GCCCH,"Guachochi, Chih. SMN*",82.80
-108.3,29.2,CHIH,GPCCH,"Guapoca, Chih.",109.41
-107.879167,26.870833,CHIH,IGNCH,"San Ignacio, Chih.",29.00
-108.427222,30.838889,CHIH,JANOS,"Janos, Chih. SMN*",1.60
-105.414167,27.544722,CHIH,LBQCH,"La Boquilla, Chih.",74.52
-107.025833,29.88,CHIH,LJSCH,"Las Lajas, Chih.",50.30
