LON,LAT,EDO,CLAVE,ESTACION,01/04/20
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",2.3
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",0
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",0
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",1
-102.197222,22.007222,AGS,CHOAG,"CaÒada Honda, Ags.",0
-102.189167,21.826667,AGS,CLVAG,"Calvillo, Ags.",0
-102,21.896389,AGS,CNSAG,"Los Conos, Ags.",16.6
-102.296667,22.362778,AGS,CSOAG,"CosÌo, Ags.",2.5
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",7.5
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",0
-102.371667,21.78,AGS,NGRAG,"El Niagara, Ags.",3.5
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",0
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",5.7
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",0
-102.291944,22.1625,AGS,PBLAG,"PabellÛn, Ags.",7.9
-102.417222,22.141111,AGS,PECAG,"Plutarco ElÌas Calles, Ags.",6.5
-102.133333,22.202778,AGS,PTOAG,"Puerto de la ConcepciÛn, Ags.",12
-102.4375,22.235,AGS,PTRAG,"Derivadora PabellÛn, Ags.",0.3
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",0
-102.362222,21.972222,AGS,UAALAPOSTA,"Univ. AutÛnoma de Aguascalientes La Posta, Ags. SGT*",2
-102.0675,22.097778,AGS,VJZAG,"Villa Ju·rez, Ags.",0
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",11.9
-116.908333,32.444722,BC,ALRBN,"Abelardo L. RodrÌguez, B.C.",76
-113.560278,28.896389,BC,BAABN,"BahÌa de los ¡ngeles, B.C. SMN*",0
-114.719167,29.727222,BC,CATAVINA,"CataviÒa, B.C. SMN*",0.3
-115.921667,32.042222,BC,CONST1857,"ConstituciÛn de 1857, B.C. SMN*",27.4
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",62.2
-116.584444,32.243056,BC,CSRBN,"Carmen Serd·n, B.C.",0
-116.828333,32.468056,BC,EFLBN,"El Florido, B.C.",58.6
-116.6025,31.890278,BC,ELZBN,"Emilio LÛpez Zamora, B.C.",24.5
-115.931389,30.517222,BC,ENBBN,"San QuintÌn (Ejido Nuevo), B.C.",13
-115.15,32.411111,BC,ENLBN,"Ejido Nuevo LeÛn, B.C.",5.2
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",20.1
-115.209722,28.034444,BC,ISLACEDROSmar,"Isla Cedros, B.C. SEMAR*",0.3
-114.728056,32.705,BC,JMRBN,"InterconexiÛn JosÈ MarÌa Morelos y PavÛn, B.C.",8.5
-115.27,32.39,BC,MXCBN,"Mexicali, B.C.",15.6
-116.908333,32.4475,BC,PABELARLRDGZ2,"Abelardo L. RodrÌguez. 2, B.C. SMN*",60.6
-114.729444,32.703889,BC,PDMBN,"Presa Derivadora Morelos, B.C.",3
