LON,LAT,EDO,CLAVE,ESTACION,01/09/21
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",158.5
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",260.2
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",185.5
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",187
-101.992222,21.897778,AGS,CNSAG,"Los Conos, Ags.",213.4
-102.296667,22.362778,AGS,CSOAG,"CosÌo, Ags.",143.9
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",200
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",254.7
-102.371667,21.78,AGS,NGRAG,"El Ni·gara, Ags.",153.4
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",219.1
-102.465,22.189167,AGS,P50ANIV,"Presa Cincuenta Aniversario, Ags. SMN*",189.4
-102.279167,22.147222,AGS,PBLAG,"PabellÛn, Ags.",140.7
-102.417222,22.141111,AGS,PECAG,"Plutarco ElÌas Calles, Ags.",246.7
-102.135,22.202778,AGS,PTOAG,"Puerto de la ConcepciÛn, Ags.",137.2
-102.4375,22.235,AGS,PTRAG,"Derivadora PabellÛn, Ags.",205.4
-102.608333,22.269444,AGS,SIERRAFRIA,"Sierra FrÌa, Ags. SMN*",239.4
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",25.4
-114.730278,32.704722,BC,ALGODONESob,"Observatorio de Algodones, B.C. SMN*",0.6
-116.908333,32.444722,BC,ALRBN,"Abelardo L. RodrÌguez, B.C.",0
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",3.5
-116.828333,32.468056,BC,EFLBN,"El Florido, B.C.",0
-116.6025,31.890278,BC,ELZBN,"Emilio LÛpez Zamora, B.C.",0
-115.931389,30.517222,BC,ENBBN,"San QuintÌn, B.C.",0
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo LeÛn, B.C.",0
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",0
-114.728056,32.705,BC,JMRBN,"InterconexiÛn JosÈ MarÌa Morelos y PavÛn, B.C.",0.6
-115.27,32.39,BC,MXCBN,"Mexicali, B.C.",5.6
-116.908333,32.4475,BC,PABELARLRDGZ2,"Abelardo L. RodrÌguez. 2, B.C. SMN*",1
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",0.6
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",0
-116.603333,31.891667,BC,PLOPEZZAMORA,"Presa Emilio LÛpez Zamora, B.C. SMN*",0
-116.678333,32.543889,BC,PRTBN,"La Puerta, B.C.",0.5
-116.64,31.704444,BC,PTBBN,"Punta Banda, B.C.",0
-114.85,31.033333,BC,SFLBN,"Observatorio de San Felipe, B.C.",1.5
-115.9375,30.531111,BC,SQNBN,"San QuintÌn, B.C. SMN*",0
-116.661667,32.568611,BC,TECATE,"Tecate, B.C. SMN*",3.4
-111.663611,25.009722,BCS,CCNBS,"Observatorio de Ciudad ConstituciÛn, B.C.S.",17.4
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",106.3
-113.457778,27.643611,BCS,DORBS,"DÌaz Ordaz, B.C.S.",10
-114.051944,27.963056,BCS,GNGBS,"Guerrero Negro, B.C.S.",6
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",107
-110.366667,24.15,BCS,LPZBS,"Observatorio de La Paz, B.C.S.",121.8
-111.349167,26.011667,BCS,LRTBS,"Observatorio de Loreto, B.C.S.",13.1
-111.983056,26.896111,BCS,MLGBS,"MulegÈ, B.C.S.",29
-111.829444,24.481111,BCS,PCORTESmar,"Puerto CortÈs, B.C.S. SEMAR*",15
-109.934167,23.9675,BCS,PLNBS,"Los Planes, B.C.S.",122
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",230.9
-110.059167,23.805,BCS,SANBS,"San Antonio, B.C.S.",253.2
-109.995,24.083889,BCS,SARBS,"El Sargento, B.C.S.",136
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",127
-109.708333,23.118889,BCS,SJCBS,"San JosÈ del Cabo, B.C.S.",114
-109.998611,23.555556,BCS,SLAGUNA,"Sierra La Laguna, B.C.S. SMN*",249.6
-109.713611,23.490278,BCS,SNTBS,"Santiago, B.C.S.",61.8
-110.210556,23.478889,BCS,TSNBS,"Todos Santos, B.C.S.",157.1
-89.743889,20.003889,CAMP,BOLCA,"Bolonchen, Camp.",285
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",263.4
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",192.3
-91.765278,18.658056,CAMP,CDCCA,"Ciudad del Carmen, Camp. SMN*",36.6
-90.72,19.361667,CAMP,CHMCA,"ChampotÛn, Camp.",193.5
-90.544167,19.838333,CAMP,CMPCA,"Campeche, Camp.",286
-91.046111,18.183056,CAMP,CNDCA,"Candelaria, Camp.",371.5
-90.507222,19.838611,CAMP,COBCA,"Observatorio de Campeche, Camp.",203.7
-90.741111,18.604444,CAMP,ESCCA,"Esc·rcega, Camp.",193.6
-90.105556,20.184167,CAMP,HECCA,"Hecelchak·n, Camp.",218
-89.848333,19.751944,CAMP,HPOCA,"Hopelchen, Camp.",190.3
-90.820833,18.056944,CAMP,MONCLOVACAMP,"Monclova, Camp. SMN*",328.2
-90.221389,19.605833,CAMP,NYXCA,"Noh-YaxchÈ, Camp.",139.5
-92.086944,18.253056,CAMP,PLZCA,"Palizada, Camp.",302
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",219
