LON,LAT,EDO,CLAVE,ESTACION,01/06/20
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",105
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",84.6
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",76.6
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",81
-102.197222,22.007222,AGS,CHOAG,"CaÒada Honda, Ags.",32.3
-102.189167,21.826667,AGS,CLVAG,"Calvillo, Ags.",25.8
-101.992222,21.897778,AGS,CNSAG,"Los Conos, Ags.",77.9
-102.296667,22.362778,AGS,CSOAG,"CosÌo, Ags.",118.9
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",35.6
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",95.9
-102.371667,21.78,AGS,NGRAG,"El Ni·gara, Ags.",55
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",15
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",90.1
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",16
-102.279167,22.147222,AGS,PBLAG,"PabellÛn, Ags.",68.4
-102.417222,22.141111,AGS,PECAG,"Plutarco ElÌas Calles, Ags.",39.5
-102.135,22.202778,AGS,PTOAG,"Puerto de la ConcepciÛn, Ags.",57.5
-102.4375,22.235,AGS,PTRAG,"Derivadora PabellÛn, Ags.",42.5
-102.108889,21.885,AGS,SNVAG,"Sandovales, Ags.",17
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",69
-102.362222,21.972222,AGS,UAALAPOSTA,"Univ. AutÛnoma de Aguascalientes La Posta, Ags. SGT*",7.4
-102.0675,22.097778,AGS,VJZAG,"Villa Ju·rez, Ags.",55.5
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",0
-116.908333,32.444722,BC,ALRBN,"Abelardo L. RodrÌguez, B.C.",0
-114.719167,29.727222,BC,CATAVINA,"CataviÒa, B.C. SMN*",0
-115.921667,32.042222,BC,CONST1857,"ConstituciÛn de 1857, B.C. SMN*",0
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",0
-116.584444,32.243056,BC,CSRBN,"Carmen Serd·n, B.C.",0
