LON,LAT,EDO,CLAVE,ESTACION,01/08/18
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",128.2
-102.466944,22.188611,AGS,ANVAG,"Cincuenta Aniversario, Ags.",63.4
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",113
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",78.3
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",80.4
-102.197222,22.007222,AGS,CHOAG,"CaÒada Honda, Ags.",55.5
-102.189167,21.826667,AGS,CLVAG,"Calvillo, Ags.",50.7
-102,21.896389,AGS,CNSAG,"Los Conos, Ags.",129.8
-102.296667,22.362778,AGS,CSOAG,"CosÌo, Ags.",95.7
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",91.3
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",103.2
-102.371667,21.78,AGS,NGRAG,"El Niagara, Ags.",109.3
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",75.7
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",113.4
-102.465,22.189167,AGS,P50ANIV,"Presa Cincuenta Aniversario, Ags. SMN*",61.4
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",94
-102.291944,22.1625,AGS,PBLAG,"PabellÛn, Ags.",95.5
-102.417222,22.141111,AGS,PECAG,"Plutarco ElÌas Calles, Ags.",52
-102.133333,22.202778,AGS,PTOAG,"Puerto de la ConcepciÛn, Ags.",73.7
-102.4375,22.235,AGS,PTRAG,"Derivadora PabellÛn, Ags.",73.4
-102.108889,21.885,AGS,SNVAG,"Sandovales, Ags.",58.5
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",53
-116.908333,32.444722,BC,ALRBN,"Abelardo L. RodrÌguez, B.C.",0
-114.719167,29.727222,BC,CATAVINA,"CataviÒa, B.C. SMN*",0.8
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",0.6
-116.584444,32.243056,BC,CSRBN,"Carmen Serd·n, B.C.",0
-116.828333,32.468056,BC,EFLBN,"El Florido, B.C.",0
-116.6025,31.890278,BC,ELZBN,"Emilio LÛpez Zamora, B.C.",0
-115.931389,30.517222,BC,ENBBN,"San QuintÌn (Ejido Nuevo), B.C.",0
-115.15,32.411111,BC,ENLBN,"Ejido Nuevo LeÛn, B.C.",0
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",55
-114.728056,32.705,BC,JMRBN,"InterconexiÛn JosÈ MarÌa Morelos y PavÛn, B.C.",0
-116.811111,32.101944,BC,LAMBN,"La MisiÛn, B.C.",0
-115.27,32.39,BC,MXCBN,"Mexicali, B.C.",0
-114.729444,32.703889,BC,PDMBN,"Presa Derivadora Morelos, B.C.",1
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",0
-114.85,31.033333,BC,SFLBN,"San Felipe, B.C.",0
-111.658333,25.001389,BCS,CCNBS,"Ciudad ConstituciÛn, B.C.S.",3.3
-109.9125,22.881944,BCS,CSLBS,"Cabo San Lucas, B.C.S.",111
-113.420833,27.783333,BCS,DORBS,"DÌaz Ordaz, B.C.S.",1.5
-114.05,27.966667,BCS,GNGBS,"Guerrero Negro, B.C.S.",0
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",33.5
-110.366667,24.15,BCS,LPZBS,"La Paz, B.C.S.",16
-111.341667,26.016667,BCS,LRTBS,"Loreto, B.C.S.",0.2
-112,26.866667,BCS,MLGBS,"Mulege, B.C.S.",0.5
-109.983333,24.066667,BCS,PLNBS,"Los Planes, B.C.S.",38
-109.55,23.583333,BCS,RBRBS,"La Ribera, B.C.S.",20.4
-110.05,23.8,BCS,SANBS,"San Antonio, B.C.S.",119.8
-109.983333,24.066667,BCS,SARBS,"El Sargento, B.C.S.",29
