LON,LAT,EDO,CLAVE,ESTACION,01/08/20
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",122.45
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",83.5
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",107.2
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",92.04
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",82.4
-102.197222,22.007222,AGS,CHOAG,"CaÒada Honda, Ags.",34.21
-102.189167,21.826667,AGS,CLVAG,"Calvillo, Ags.",73.35
-101.992222,21.897778,AGS,CNSAG,"Los Conos, Ags.",73.52
-102.296667,22.362778,AGS,CSOAG,"CosÌo, Ags.",42.53
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",55.22
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",85.91
-102.371667,21.78,AGS,NGRAG,"El Ni·gara, Ags.",96.34
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",41
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",88.01
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",51
-102.279167,22.147222,AGS,PBLAG,"PabellÛn, Ags.",67.62
-102.417222,22.141111,AGS,PECAG,"Plutarco ElÌas Calles, Ags.",35.83
-102.135,22.202778,AGS,PTOAG,"Puerto de la ConcepciÛn, Ags.",71.05
-102.4375,22.235,AGS,PTRAG,"Derivadora PabellÛn, Ags.",67.91
-102.608611,22.269722,AGS,SIERRAFRIA,"Sierra FrÌa, Ags. SMN*",94.8
-102.108889,21.885,AGS,SNVAG,"Sandovales, Ags.",66
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",89
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",0.3
-116.908333,32.444722,BC,ALRBN,"Abelardo L. RodrÌguez, B.C.",0
-114.719167,29.727222,BC,CATAVINA,"CataviÒa, B.C. SMN*",0
-115.921667,32.042222,BC,CONST1857,"ConstituciÛn de 1857, B.C. SMN*",13.6
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",0
-116.584444,32.243056,BC,CSRBN,"Carmen Serd·n, B.C.",0
-116.828333,32.468056,BC,EFLBN,"El Florido, B.C.",0
-116.6025,31.890278,BC,ELZBN,"Emilio LÛpez Zamora, B.C.",0.01
-115.931389,30.517222,BC,ENBBN,"San QuintÌn, B.C.",0
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo LeÛn, B.C.",0
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",0
-114.728056,32.705,BC,JMRBN,"InterconexiÛn JosÈ MarÌa Morelos y PavÛn, B.C.",0
-115.27,32.39,BC,MXCBN,"Mexicali, B.C.",0
-116.908333,32.4475,BC,PABELARLRDGZ2,"Abelardo L. RodrÌguez. 2, B.C. SMN*",0
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",0
-116.603333,31.891667,BC,PLOPEZZAMORA,"Presa Emilio LÛpez Zamora, B.C. SMN*",0
-116.64,31.704444,BC,PTBBN,"Punta Banda, B.C.",0
-114.828611,30.993056,BC,SANFELIPEmar,"San Felipe, B.C. SEMAR*",0
-114.834444,31.028056,BC,SFELIPEob,"Observatorio de San Felipe, B.C. SMN*",0
-114.85,31.033333,BC,SFLBN,"Observatorio de San Felipe, B.C.",0
-115.9375,30.531111,BC,SQNBN,"San QuintÌn, B.C. SMN*",0
-116.661667,32.568611,BC,TECATE,"Tecate, B.C. SMN*",0
-111.353889,26.009722,BCS,BLORETO,"BahÌa de Loreto, B.C.S. SMN*",4.8
-111.663611,25.009722,BCS,CCNBS,"Observatorio de Ciudad ConstituciÛn, B.C.S.",8.4
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",304.72
-113.457222,27.6425,BCS,DIAZORDAZBN,"Gustavo DÌçaz Ordaz, B.C.S. SMN*",0.2
-113.457778,27.643611,BCS,DORBS,"DÌaz Ordaz, B.C.S.",0.05
-114.051944,27.963056,BCS,GNGBS,"Guerrero Negro, B.C.S.",0.01
-110.316667,24.116667,BCS,LAPAZob,"Observatorio de La Paz, B.C.S. SMN*",2.2
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",18.03
-110.366667,24.15,BCS,LPZBS,"Observatorio de La Paz, B.C.S.",2.33
-111.349167,26.011667,BCS,LRTBS,"Observatorio de Loreto, B.C.S.",5.11
-111.983056,26.896111,BCS,MLGBS,"MulegÈ, B.C.S.",7.01
-111.829444,24.481111,BCS,PCORTESmar,"Puerto CortÈs, B.C.S. SEMAR*",35.53
-109.934167,23.9675,BCS,PLNBS,"Los Planes, B.C.S.",38.03
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",33.61
-110.059167,23.805,BCS,SANBS,"San Antonio, B.C.S.",42.42
-112.478611,26.2575,BCS,SANJUANICO,"San Juanico, B.C.S. SMN*",5.8
-109.995,24.083889,BCS,SARBS,"El Sargento, B.C.S.",3
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",86
-109.708333,23.118889,BCS,SJCBS,"San JosÈ del Cabo, B.C.S.",143.02
-109.998611,23.555556,BCS,SLAGUNA,"Sierra La Laguna, B.C.S. SMN*",149.2
-109.713611,23.490278,BCS,SNTBS,"Santiago, B.C.S.",89.24
-112.272778,27.337778,BCS,SRLBS,"Observatorio de Santa RosalÌa, B.C.S.",17.51
-110.210556,23.478889,BCS,TSNBS,"Todos Santos, B.C.S.",130.04
-89.743889,20.003889,CAMP,BOLCA,"Bolonchen, Camp.",168
-90.5,19.833333,CAMP,CAMPECHEob,"Observatorio de Campeche, Camp. SMN*",131.2
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",199.1
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",188.2
-91.765278,18.658056,CAMP,CDCCA,"Ciudad del Carmen, Camp. SMN*",26
-90.72,19.361667,CAMP,CHMCA,"ChampotÛn, Camp.",172.01
-90.544167,19.838333,CAMP,CMPCA,"Campeche, Camp.",189.51
-91.046111,18.183056,CAMP,CNDCA,"Candelaria, Camp.",151.93
-90.507222,19.838611,CAMP,COBCA,"Observatorio de Campeche, Camp.",161.41
-90.741111,18.604444,CAMP,ESCCA,"Esc·rcega, Camp.",152.7
-90.105556,20.184167,CAMP,HECCA,"Hecelchak·n, Camp.",150
-89.848333,19.751944,CAMP,HPOCA,"Hopelchen, Camp.",111.1
-90.820833,18.056944,CAMP,MONCLOVACAMP,"Monclova, Camp. SMN*",235
-90.221389,19.605833,CAMP,NYXCA,"Noh-YaxchÈ, Camp.",335
-92.086944,18.253056,CAMP,PLZCA,"Palizada, Camp.",200.5
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",199.91
-89.860278,19.664444,CAMP,XCPCA,"Xcupil, Camp.",126.41
-89.396111,18.502222,CAMP,XPJCA,"Xpujil, Camp.",115
-107.482778,28.481667,CHIH,AGZCH,"Abraham Gonz·lez, Chih.",17.54
-107.255556,28.771667,CHIH,BACCH,"BachÌniva, Chih.",14.5
-108.209167,28.198889,CHIH,BASCH,"Basaseachi, Chih. SMN*",55.9
-108.206389,28.208889,CHIH,BSSCH,"Basaseachi, Chih.",58.2
-107.723611,27.033611,CHIH,BTPCH,"Batopilas, Chih.",43.81
-106.484722,28.802778,CHIH,C08099,"Majalca, Chih.",16.4
-108.52,28.147222,CHIH,C08182,"Moris, Chih.",181.03
-108.092778,29.216667,CHIH,C08219,"PeÒitas, Chih.",61.5
-107.6975,28.759722,CHIH,C08243,"Tejolocachi, Chih.",45.54
-105.963611,28.773333,CHIH,C08270,"La Mesa, Chih.",6.03
-107.930833,30.376667,CHIH,CAGCH,"Observatorio de Nuevo Casas Grandes, Chih.",9.12
-106.84,28.396667,CHIH,CDCUAUHTEMOC,"Ciudad CuauhtÈmoc, Chih. SMN*",3.2
-105.446944,28.210833,CHIH,CDLCH,"Ciudad Delicias, Chih.",0
-108.535556,27.392222,CHIH,CHICH,"ChÌnipas, Chih. SMN*",29.46
-106.030278,28.670556,CHIH,CHIHUAHUAob,"Observatorio de Chihuahua, Chih. SMN*",6.2
-106.770556,26.229444,CHIH,CHNCH,"Chinat˙, Chih. SMN*",47.14
-106.167778,28.570556,CHIH,CHUCH,"Chihuahua, Chih.",12.22
-106.400278,31.736667,CHIH,CJZCH,"Ciudad Ju·rez, Chih.",2.52
-105.381667,27.410278,CHIH,CL2CH,"Colina hidromÈtrica, Chih.",5.5
-108.541667,27.416667,CHIH,CNDCH,"ChÌnipas, Chih.",50.2
-105.382222,27.576389,CHIH,COLINA,"Colina, Chih. SGT*",4.25
