LON,LAT,EDO,CLAVE,ESTACION,01/10/21
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",16.8
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",28.0
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",18.5
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",36.8
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",45.0
-102.197222,22.007222,AGS,CHOAG,"CaÒada Honda, Ags.",21.1
-102.189167,21.826667,AGS,CLVAG,"Calvillo, Ags.",48.1
-101.992222,21.897778,AGS,CNSAG,"Los Conos, Ags.",75.2
-102.296667,22.362778,AGS,CSOAG,"CosÌo, Ags.",36.4
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",34.2
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",54.2
-102.371667,21.78,AGS,NGRAG,"El Ni·gara, Ags.",31.8
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",38.5
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",25.2
-102.465,22.189167,AGS,P50ANIV,"Presa Cincuenta Aniversario, Ags. SMN*",18.6
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",54.0
-102.279167,22.147222,AGS,PBLAG,"PabellÛn, Ags.",40.6
-102.417222,22.141111,AGS,PECAG,"Plutarco ElÌas Calles, Ags.",29.3
-102.135,22.202778,AGS,PTOAG,"Puerto de la ConcepciÛn, Ags.",34.8
-102.4375,22.235,AGS,PTRAG,"Derivadora PabellÛn, Ags.",57.9
-102.608333,22.269444,AGS,SIERRAFRIA,"Sierra FrÌa, Ags. SMN*",34.8
-102.108889,21.885,AGS,SNVAG,"Sandovales, Ags.",41.0
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",31.0
-102.0675,22.097778,AGS,VJZAG,"Villa Ju·rez, Ags.",35.5
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",5.3
-114.730278,32.704722,BC,ALGODONESob,"Observatorio de Algodones, B.C. SMN*",0.0
-116.908333,32.444722,BC,ALRBN,"Abelardo L. RodrÌguez, B.C.",26.6
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",16.0
-116.828333,32.468056,BC,EFLBN,"El Florido, B.C.",20.3
-116.6025,31.890278,BC,ELZBN,"Emilio LÛpez Zamora, B.C.",7.8
-115.931389,30.517222,BC,ENBBN,"San QuintÌn, B.C.",0.0
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo LeÛn, B.C.",2.0
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",11.1
-114.728056,32.705,BC,JMRBN,"InterconexiÛn JosÈ MarÌa Morelos y PavÛn, B.C.",0.0
-115.27,32.39,BC,MXCBN,"Mexicali, B.C.",1.3
-116.908333,32.4475,BC,PABELARLRDGZ2,"Abelardo L. RodrÌguez. 2, B.C. SMN*",22.6
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",0.0
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",0.6
-116.603333,31.891667,BC,PLOPEZZAMORA,"Presa Emilio LÛpez Zamora, B.C. SMN*",9.8
-116.678333,32.543889,BC,PRTBN,"La Puerta, B.C.",26.7
-116.64,31.704444,BC,PTBBN,"Punta Banda, B.C.",17.0
-114.85,31.033333,BC,SFLBN,"Observatorio de San Felipe, B.C.",0.0
-115.9375,30.531111,BC,SQNBN,"San QuintÌn, B.C. SMN*",0.0
-116.661667,32.568611,BC,TECATE,"Tecate, B.C. SMN*",9.4
-111.663611,25.009722,BCS,CCNBS,"Observatorio de Ciudad ConstituciÛn, B.C.S.",0.0
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",11.5
-113.457778,27.643611,BCS,DORBS,"DÌaz Ordaz, B.C.S.",0.0
-114.051944,27.963056,BCS,GNGBS,"Guerrero Negro, B.C.S.",0.0
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",72.0
-110.366667,24.15,BCS,LPZBS,"Observatorio de La Paz, B.C.S.",2.4
-111.349167,26.011667,BCS,LRTBS,"Observatorio de Loreto, B.C.S.",0.0
