LON,LAT,EDO,CLAVE,ESTACION,01/02/20
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",31.01
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",41.3
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",30.66
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",43
-102,21.896389,AGS,CNSAG,"Los Conos, Ags.",38.82
-102.296667,22.362778,AGS,CSOAG,"CosÌo, Ags.",26
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",24.9
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",40.91
-102.371667,21.78,AGS,NGRAG,"El Niagara, Ags.",34.41
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",27.5
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",31.02
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",38
-102.291944,22.1625,AGS,PBLAG,"PabellÛn, Ags.",17.6
-102.417222,22.141111,AGS,PECAG,"Plutarco ElÌas Calles, Ags.",27.51
-102.133333,22.202778,AGS,PTOAG,"Puerto de la ConcepciÛn, Ags.",26.02
-102.4375,22.235,AGS,PTRAG,"Derivadora PabellÛn, Ags.",25.01
-102.108889,21.885,AGS,SNVAG,"Sandovales, Ags.",34
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",37
-102.362222,21.972222,AGS,UAALAPOSTA,"Univ. AutÛnoma de Aguascalientes La Posta, Ags. SGT*",6.9
-102.0675,22.097778,AGS,VJZAG,"Villa Ju·rez, Ags.",29.6
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",5.6
-116.908333,32.444722,BC,ALRBN,"Abelardo L. RodrÌguez, B.C.",27.51
-113.560278,28.896389,BC,BAABN,"BahÌa de los ¡ngeles, B.C. SMN*",0.6
-114.719167,29.727222,BC,CATAVINA,"CataviÒa, B.C. SMN*",5.79
-115.921667,32.042222,BC,CONST1857,"ConstituciÛn de 1857, B.C. SMN*",39
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",30.4
-116.828333,32.468056,BC,EFLBN,"El Florido, B.C.",24.91
-116.6025,31.890278,BC,ELZBN,"Emilio LÛpez Zamora, B.C.",18.7
-115.931389,30.517222,BC,ENBBN,"San QuintÌn (Ejido Nuevo), B.C.",7.1
-115.15,32.411111,BC,ENLBN,"Ejido Nuevo LeÛn, B.C.",2.3
-115.191944,32.412778,BC,ENVOLEONob,"Observatorio de EnvoleÛn, B.C. SMN*",1.6
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",2.31
-115.209722,28.034444,BC,ISLACEDROSmar,"Isla Cedros, B.C. SEMAR*",1.77
-114.728056,32.705,BC,JMRBN,"InterconexiÛn JosÈ MarÌa Morelos y PavÛn, B.C.",23.2
-115.27,32.39,BC,MXCBN,"Mexicali, B.C.",7.81
-116.908333,32.4475,BC,PABELARLRDGZ2,"Abelardo L. RodrÌguez. 2, B.C. SMN*",21.2
-114.729444,32.703889,BC,PDMBN,"Presa Derivadora Morelos, B.C.",23.2
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",32.4
-116.603333,31.891667,BC,PLOPEZZAMORA,"Presa Emilio LÛpez Zamora, B.C. SMN*",21.8
-115.9375,30.531111,BC,SQNBN,"San QuintÌn, B.C. SMN*",12
-116.661667,32.568611,BC,TECATE,"Tecate SMN, B.C.",41
-111.353889,26.009722,BCS,BLORETO,"BahÌa de Loreto, B.C.S. SMN*",0
-111.658333,25.001389,BCS,CCNBS,"Ciudad ConstituciÛn, B.C.S.",3.5
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",39.01
-113.457222,27.6425,BCS,DIAZORDAZBN,"Gustavo DÌçaz Ordaz, B.C.S. SMN*",0.6
-113.457222,27.6425,BCS,DIAZORDAZBN,"Gustavo DÌçaz Ordaz, B.C.S. SMN*",0.6
-113.420833,27.783333,BCS,DORBS,"DÌaz Ordaz, B.C.S.",1.06
-114.05,27.966667,BCS,GNGBS,"Guerrero Negro, B.C.S.",3.67
-110.316667,24.116667,BCS,LAPAZob,"Observatorio de La Paz, B.C.S. SMN*",23.8
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",10.01
-110.366667,24.15,BCS,LPZBS,"La Paz, B.C.S.",26.71
-111.341667,26.016667,BCS,LRTBS,"Loreto, B.C.S.",0
-112,26.866667,BCS,MLGBS,"Mulege, B.C.S.",0.02
-111.829444,24.481111,BCS,PCORTESmar,"Puerto CortÈs, B.C.S. SEMAR*",6.08
-109.983333,24.066667,BCS,PLNBS,"Los Planes, B.C.S.",2
-109.55,23.583333,BCS,RBRBS,"La Ribera, B.C.S.",14.62
-110.05,23.8,BCS,SANBS,"San Antonio, B.C.S.",37.71
-112.478611,26.2575,BCS,SANJUANICO,"San Juanico, B.C.S. SMN*",0
-109.983333,24.066667,BCS,SARBS,"El Sargento, B.C.S.",21
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",21
-109.708333,23.118889,BCS,SJCBS,"San JosÈ del Cabo, B.C.S.",6
