LON,LAT,EDO,CLAVE,ESTACION,01/08/21
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",115.8
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",143.0
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",130.7
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",137.3
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",220.0
-102.197222,22.007222,AGS,CHOAG,"CaÒada Honda, Ags.",89.7
-102.189167,21.826667,AGS,CLVAG,"Calvillo, Ags.",47.7
-101.992222,21.897778,AGS,CNSAG,"Los Conos, Ags.",161.1
-102.296667,22.362778,AGS,CSOAG,"CosÌo, Ags.",35.3
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",104.4
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",177.1
-102.371667,21.78,AGS,NGRAG,"El Ni·gara, Ags.",71.0
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",92.0
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",86.1
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",102.0
-102.279167,22.147222,AGS,PBLAG,"PabellÛn, Ags.",78.9
-102.417222,22.141111,AGS,PECAG,"Plutarco ElÌas Calles, Ags.",77.3
-102.135,22.202778,AGS,PTOAG,"Puerto de la ConcepciÛn, Ags.",138.4
-102.4375,22.235,AGS,PTRAG,"Derivadora PabellÛn, Ags.",45.2
-102.608333,22.269444,AGS,SIERRAFRIA,"Sierra FrÌa, Ags. SMN*",99.4
-102.108889,21.885,AGS,SNVAG,"Sandovales, Ags.",68.0
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",59.0
-102.0675,22.097778,AGS,VJZAG,"Villa Ju·rez, Ags.",92.0
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",21.5
-114.730278,32.704722,BC,ALGODONESob,"Observatorio de Algodones, B.C. SMN*",7.2
-116.908333,32.444722,BC,ALRBN,"Abelardo L. RodrÌguez, B.C.",0.2
-114.719167,29.727222,BC,CATAVINA,"CataviÒa, B.C. SMN*",0.0
