LON,LAT,EDO,CLAVE,ESTACION,01/09/18
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",111.43
-102.466944,22.188611,AGS,ANVAG,"Cincuenta Aniversario, Ags.",67.2
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",130.07
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",178.2
-102,21.896389,AGS,CNSAG,"Los Conos, Ags.",190.74
-102.296667,22.362778,AGS,CSOAG,"CosÌo, Ags.",123.98
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",76.03
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",176.73
-102.371667,21.78,AGS,NGRAG,"El Niagara, Ags.",139.14
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",171.31
-102.465,22.189167,AGS,P50ANIV,"Presa Cincuenta Aniversario, Ags. SMN*",80.8
-102.291944,22.1625,AGS,PBLAG,"PabellÛn, Ags.",58.52
-102.417222,22.141111,AGS,PECAG,"Plutarco ElÌas Calles, Ags.",74.5
-102.133333,22.202778,AGS,PTOAG,"Puerto de la ConcepciÛn, Ags.",68.51
-102.4375,22.235,AGS,PTRAG,"Derivadora PabellÛn, Ags.",85.92
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",3.9
-116.908333,32.444722,BC,ALRBN,"Abelardo L. RodrÌguez, B.C.",0.01
-114.719167,29.727222,BC,CATAVINA,"CataviÒa, B.C. SMN*",1.75
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",0
-116.584444,32.243056,BC,CSRBN,"Carmen Serd·n, B.C.",0.5
-116.828333,32.468056,BC,EFLBN,"El Florido, B.C.",0
-116.6025,31.890278,BC,ELZBN,"Emilio LÛpez Zamora, B.C.",2.8
-115.931389,30.517222,BC,ENBBN,"San QuintÌn (Ejido Nuevo), B.C.",9.7
-115.15,32.411111,BC,ENLBN,"Ejido Nuevo LeÛn, B.C.",4
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",0
-114.728056,32.705,BC,JMRBN,"InterconexiÛn JosÈ MarÌa Morelos y PavÛn, B.C.",2.4
-116.811111,32.101944,BC,LAMBN,"La MisiÛn, B.C.",0
-115.27,32.39,BC,MXCBN,"Mexicali, B.C.",3.2
-114.729444,32.703889,BC,PDMBN,"Presa Derivadora Morelos, B.C.",2.4
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",0
-114.85,31.033333,BC,SFLBN,"San Felipe, B.C.",4.3
-111.658333,25.001389,BCS,CCNBS,"Ciudad ConstituciÛn, B.C.S.",96.2
-109.9125,22.881944,BCS,CSLBS,"Cabo San Lucas, B.C.S.",324.1
-113.420833,27.783333,BCS,DORBS,"DÌaz Ordaz, B.C.S.",0.02
-114.05,27.966667,BCS,GNGBS,"Guerrero Negro, B.C.S.",1.01
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",106
-110.366667,24.15,BCS,LPZBS,"La Paz, B.C.S.",142.82
-111.341667,26.016667,BCS,LRTBS,"Loreto, B.C.S.",52
-112,26.866667,BCS,MLGBS,"Mulege, B.C.S.",11.5
-109.983333,24.066667,BCS,PLNBS,"Los Planes, B.C.S.",112.35
-109.55,23.583333,BCS,RBRBS,"La Ribera, B.C.S.",103.82
-110.05,23.8,BCS,SANBS,"San Antonio, B.C.S.",219.25
-109.983333,24.066667,BCS,SARBS,"El Sargento, B.C.S.",70.03
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",194.5
-109.708333,23.118889,BCS,SJCBS,"San JosÈ del Cabo, B.C.S.",134.9
